$ objdump -d -M intel ./vuln | sed -n "/<main>:/,/^$/p"
0000000000400771 <main>:
  400771:	55                   	push   rbp
  400772:	48 89 e5             	mov    rbp,rsp
  400775:	41 57                	push   r15
  400777:	41 56                	push   r14
  400779:	41 55                	push   r13
  40077b:	41 54                	push   r12
  40077d:	48 83 ec 60          	sub    rsp,0x60
  400781:	89 7d 8c             	mov    DWORD PTR [rbp-0x74],edi
  400784:	48 89 75 80          	mov    QWORD PTR [rbp-0x80],rsi
  400788:	48 8b 05 c1 08 20 00 	mov    rax,QWORD PTR [rip+0x2008c1]        # 601050 <stdout@GLIBC_2.2.5>
  40078f:	be 00 00 00 00       	mov    esi,0x0
  400794:	48 89 c7             	mov    rdi,rax
  400797:	e8 c4 fd ff ff       	call   400560 <setbuf@plt>
  40079c:	e8 cf fd ff ff       	call   400570 <getegid@plt>
  4007a1:	89 45 d4             	mov    DWORD PTR [rbp-0x2c],eax
  4007a4:	8b 55 d4             	mov    edx,DWORD PTR [rbp-0x2c]
  4007a7:	8b 4d d4             	mov    ecx,DWORD PTR [rbp-0x2c]
  4007aa:	8b 45 d4             	mov    eax,DWORD PTR [rbp-0x2c]
  4007ad:	89 ce                	mov    esi,ecx
  4007af:	89 c7                	mov    edi,eax
  4007b1:	b8 00 00 00 00       	mov    eax,0x0
  4007b6:	e8 95 fd ff ff       	call   400550 <setresgid@plt>
  4007bb:	48 c7 45 c8 1b 00 00 	mov    QWORD PTR [rbp-0x38],0x1b
  4007c2:	00 
  4007c3:	48 b8 57 65 6c 63 6f 	movabs rax,0x20656d6f636c6557
  4007ca:	6d 65 20 
  4007cd:	48 ba 74 6f 20 6d 79 	movabs rdx,0x636520796d206f74
  4007d4:	20 65 63 
  4007d7:	48 89 45 90          	mov    QWORD PTR [rbp-0x70],rax
  4007db:	48 89 55 98          	mov    QWORD PTR [rbp-0x68],rdx
  4007df:	48 b8 68 6f 20 73 65 	movabs rax,0x6576726573206f68
  4007e6:	72 76 65 
  4007e9:	48 89 45 a0          	mov    QWORD PTR [rbp-0x60],rax
  4007ed:	66 c7 45 a8 72 21    	mov    WORD PTR [rbp-0x58],0x2172
  4007f3:	c6 45 aa 00          	mov    BYTE PTR [rbp-0x56],0x0
  4007f7:	48 8b 45 c8          	mov    rax,QWORD PTR [rbp-0x38]
  4007fb:	48 89 c2             	mov    rdx,rax
  4007fe:	48 83 ea 01          	sub    rdx,0x1
  400802:	48 89 55 c0          	mov    QWORD PTR [rbp-0x40],rdx
  400806:	49 89 c6             	mov    r14,rax
  400809:	41 bf 00 00 00 00    	mov    r15d,0x0
  40080f:	49 89 c4             	mov    r12,rax
  400812:	41 bd 00 00 00 00    	mov    r13d,0x0
  400818:	ba 10 00 00 00       	mov    edx,0x10
  40081d:	48 83 ea 01          	sub    rdx,0x1
  400821:	48 01 d0             	add    rax,rdx
  400824:	b9 10 00 00 00       	mov    ecx,0x10
  400829:	ba 00 00 00 00       	mov    edx,0x0
  40082e:	48 f7 f1             	div    rcx
  400831:	48 6b c0 10          	imul   rax,rax,0x10
  400835:	48 29 c4             	sub    rsp,rax
  400838:	48 89 e0             	mov    rax,rsp
  40083b:	48 83 c0 00          	add    rax,0x0
  40083f:	48 89 45 b8          	mov    QWORD PTR [rbp-0x48],rax
  400843:	48 c7 45 d8 00 00 00 	mov    QWORD PTR [rbp-0x28],0x0
  40084a:	00 
  40084b:	eb 33                	jmp    400880 <main+0x10f>
  40084d:	48 8d 55 90          	lea    rdx,[rbp-0x70]
  400851:	48 8b 45 d8          	mov    rax,QWORD PTR [rbp-0x28]
  400855:	48 01 d0             	add    rax,rdx
  400858:	0f b6 00             	movzx  eax,BYTE PTR [rax]
  40085b:	0f be c0             	movsx  eax,al
  40085e:	48 8b 55 d8          	mov    rdx,QWORD PTR [rbp-0x28]
  400862:	48 89 d6             	mov    rsi,rdx
  400865:	89 c7                	mov    edi,eax
  400867:	e8 0b fe ff ff       	call   400677 <convert_case>
  40086c:	89 c1                	mov    ecx,eax
  40086e:	48 8b 55 b8          	mov    rdx,QWORD PTR [rbp-0x48]
  400872:	48 8b 45 d8          	mov    rax,QWORD PTR [rbp-0x28]
  400876:	48 01 d0             	add    rax,rdx
  400879:	88 08                	mov    BYTE PTR [rax],cl
  40087b:	48 83 45 d8 01       	add    QWORD PTR [rbp-0x28],0x1
  400880:	48 8b 45 d8          	mov    rax,QWORD PTR [rbp-0x28]
  400884:	48 3b 45 c8          	cmp    rax,QWORD PTR [rbp-0x38]
  400888:	72 c3                	jb     40084d <main+0xdc>
  40088a:	48 8b 45 b8          	mov    rax,QWORD PTR [rbp-0x48]
  40088e:	48 89 c7             	mov    rdi,rax
  400891:	e8 aa fc ff ff       	call   400540 <puts@plt>
  400896:	b8 00 00 00 00       	mov    eax,0x0
  40089b:	e8 38 fe ff ff       	call   4006d8 <do_stuff>
  4008a0:	eb f4                	jmp    400896 <main+0x125>
  4008a2:	66 2e 0f 1f 84 00 00 	cs nop WORD PTR [rax+rax*1+0x0]
  4008a9:	00 00 00 
  4008ac:	0f 1f 40 00          	nop    DWORD PTR [rax+0x0]

